ID_Curso,Titulo,Descripcion
1,"Advanced tangible project","At even business physical rise above draw summer."
1,"Digitized 4thgeneration projection","Step knowledge question respond practice case effect."
10,"Front-line coherent toolset","Have case out build real with accept."
3,"Configurable high-level implementation","Organization road any hope."
9,"Polarized attitude-oriented migration","About act age guess space."
1,"Cloned explicit model","Carry increase idea whether necessary."
1,"Focused leadingedge algorithm","Boy rise agent building above."
9,"Networked optimal emulation","Know product more red among defense."
10,"Devolved empowering archive","Someone five resource share into will opportunity."
2,"Virtual client-driven initiative","Reveal often social though bit sit while."
10,"Multi-lateral non-volatile projection","Camera production might science onto trip."
10,"Integrated heuristic workforce","Whatever so trial play use drop magazine level."
10,"Integrated zero tolerance neural-net","My somebody check sign ahead available."
6,"Distributed upward-trending ability","Able three stand employee."
9,"Integrated analyzing capacity","Pretty coach traditional yes treat."
8,"Reverse-engineered composite algorithm","Recognize conference above guy half throw experience."
7,"Function-based directional policy","Hundred yet happy find."
1,"Optimized non-volatile solution","Protect us its her father sell."
9,"Business-focused logistical hardware","Start page PM do life leave site."
2,"Sharable responsive model","Mrs employee who thank practice practice TV."
